# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             341   N   00000b0a   02f70f63   00000b0c   x15_a5     00000009
             342   N   00000b0c   000047ad   00000b10   ---        --------
             343   N   00000b10   02f70c63   00000b12   x15_a5     0000000b
             344   N   00000b12   47ad0837   00000b4a   ---        --------
             348   N   00000b4a   08370013   000022e0   ---        --------
             351   N   000022e0   e1428293   000022e4   x05_t0     000002e0
             352   N   000022e4   00008282   000022e8   x05_t0     000000f4
             353   N   000022e8   00000013   000000f4   ---        --------
             356   N   000000f4   0000006f   000000f8   ---        --------
             357   N   000000f8   ffffffff   000000f8   ---        --------
